map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
14,0.9,0.3,1000,0.001,20,0.37,0.48280430818293246
14,0.9,0.4,1000,1e-10,8,0.13,0.33630343441600474
14,0.9,0.4,1000,0.001,18,0.23,0.4208325082500163
14,0.9,0.5,1000,1e-10,4,0.22,0.41424630354415964
14,0.9,0.5,1000,0.001,18,0.22,0.41424630354415964
14,0.9,0.6,1000,1e-10,5,0.45,0.49749371855331
14,0.9,0.6,1000,0.001,17,0.43,0.4950757517794625
14,0.9,0.7,1000,1e-10,8,0.4,0.48989794855663565
14,0.9,0.7,1000,0.001,9,0.41,0.49183330509431744
14,0.9,0.8,1000,1e-10,9,0.25,0.4330127018922193
14,0.9,0.8,1000,0.001,8,0.3,0.45825756949558394
14,0.9,0.9,1000,1e-10,14,0.45,0.49749371855331
14,0.9,0.9,1000,0.001,14,0.16,0.36660605559646725
14,1.0,0.1,1000,1e-10,7,0.84,0.36660605559646725
14,1.0,0.1,1000,0.001,26,0.86,0.34698703145794946
14,1.0,0.2,1000,1e-10,5,0.87,0.33630343441600474
14,1.0,0.2,1000,0.001,20,0.88,0.32496153618543844
14,1.0,0.3,1000,1e-10,5,0.84,0.36660605559646725
14,1.0,0.3,1000,0.001,26,0.86,0.34698703145794946
14,1.0,0.4,1000,1e-10,6,0.85,0.3570714214271425
14,1.0,0.4,1000,0.001,20,0.84,0.36660605559646725
14,1.0,0.5,1000,1e-10,4,0.88,0.3249615361854384
14,1.0,0.5,1000,0.001,20,0.88,0.3249615361854384
14,1.0,0.6,1000,1e-10,4,0.83,0.375632799419859
14,1.0,0.6,1000,0.001,17,0.91,0.2861817604250837
14,1.0,0.7,1000,1e-10,7,0.89,0.31288975694324034
14,1.0,0.7,1000,0.001,14,0.94,0.23748684174075835
14,1.0,0.8,1000,1e-10,5,0.93,0.25514701644346144
14,1.0,0.8,1000,0.001,15,0.87,0.33630343441600474
14,1.0,0.9,1000,1e-10,8,0.87,0.33630343441600474
14,1.0,0.9,1000,0.001,8,0.91,0.2861817604250837
16,0.8,0.1,1000,1e-10,24,0.06,0.23748684174075838
16,0.8,0.1,1000,0.001,30,0.03,0.17058722109231983
16,0.8,0.2,1000,1e-10,14,0.09,0.28618176042508375
16,0.8,0.2,1000,0.001,25,0.02,0.13999999999999999
16,0.8,0.3,1000,1e-10,21,0.01,0.09949874371066199
16,0.8,0.3,1000,0.001,28,0.04,0.19595917942265423
16,0.8,0.4,1000,1e-10,8,0.0,0.0
16,0.8,0.4,1000,0.001,23,0.04,0.19595917942265423
16,0.8,0.5,1000,1e-10,18,0.0,0.0
16,0.8,0.5,1000,0.001,24,0.02,0.13999999999999999
16,0.8,0.6,1000,1e-10,17,0.0,0.0
16,0.8,0.6,1000,0.001,22,0.03,0.17058722109231983
16,0.8,0.7,1000,1e-10,16,0.0,0.0
16,0.8,0.7,1000,0.001,17,0.0,0.0
16,0.8,0.8,1000,1e-10,18,0.03,0.17058722109231983
16,0.8,0.8,1000,0.001,32,0.0,0.0
16,0.8,0.9,1000,1e-10,20,0.02,0.13999999999999999
16,0.8,0.9,1000,0.001,9,0.01,0.09949874371066199
16,0.9,0.1,1000,1e-10,15,0.17,0.375632799419859
16,0.9,0.1,1000,0.001,26,0.15,0.3570714214271425
16,0.9,0.2,1000,1e-10,10,0.3,0.45825756949558394
16,0.9,0.2,1000,0.001,24,0.4,0.48989794855663565
16,0.9,0.3,1000,1e-10,22,0.03,0.17058722109231983
16,0.9,0.3,1000,0.001,26,0.45,0.4974937185533101
16,0.9,0.4,1000,1e-10,18,0.37,0.4828043081829324
16,0.9,0.4,1000,0.001,25,0.46,0.49839743177508444
16,0.9,0.5,1000,1e-10,5,0.16,0.36660605559646714
16,0.9,0.5,1000,0.001,20,0.47,0.49909918853871116
16,0.9,0.6,1000,1e-10,7,0.21,0.40730823708832603
16,0.9,0.6,1000,0.001,26,0.1,0.3
16,0.9,0.7,1000,1e-10,4,0.23,0.4208325082500163
16,0.9,0.7,1000,0.001,17,0.45,0.49749371855331004
16,0.9,0.8,1000,1e-10,4,0.39,0.487749935930288
16,0.9,0.8,1000,0.001,23,0.07,0.25514701644346144
16,0.9,0.9,1000,1e-10,5,0.3,0.45825756949558394
16,0.9,0.9,1000,0.001,13,0.13,0.33630343441600474
16,1.0,0.1,1000,1e-10,16,0.75,0.4330127018922193
16,1.0,0.1,1000,0.001,30,0.72,0.44899888641287294
16,1.0,0.2,1000,1e-10,12,0.7,0.45825756949558394
16,1.0,0.2,1000,0.001,30,0.68,0.466476151587624
16,1.0,0.3,1000,1e-10,4,0.73,0.4439594576084623
16,1.0,0.3,1000,0.001,30,0.71,0.45376205218153715
16,1.0,0.4,1000,1e-10,4,0.76,0.4270831300812525
16,1.0,0.4,1000,0.001,40,0.73,0.44395945760846234
16,1.0,0.5,1000,1e-10,6,0.69,0.46249324319388707
16,1.0,0.5,1000,0.001,24,0.77,0.4208325082500163
16,1.0,0.6,1000,1e-10,9,0.7,0.458257569495584
16,1.0,0.6,1000,0.001,18,0.74,0.4386342439892262
16,1.0,0.7,1000,1e-10,4,0.76,0.4270831300812525
16,1.0,0.7,1000,0.001,17,0.7,0.45825756949558394
16,1.0,0.8,1000,1e-10,16,0.79,0.407308237088326
16,1.0,0.8,1000,0.001,18,0.77,0.4208325082500163
16,1.0,0.9,1000,1e-10,43,0.8,0.4
16,1.0,0.9,1000,0.001,9,0.71,0.4537620521815371
18,0.8,0.1,1000,1e-10,21,0.0,0.0
18,0.8,0.1,1000,0.001,30,0.0,0.0
18,0.8,0.2,1000,1e-10,16,0.04,0.19595917942265423
18,0.8,0.2,1000,0.001,31,0.0,0.0
18,0.8,0.3,1000,1e-10,12,0.0,0.0
18,0.8,0.3,1000,0.001,31,0.0,0.0
18,0.8,0.4,1000,1e-10,25,0.01,0.09949874371066199
18,0.8,0.4,1000,0.001,39,0.0,0.0
18,0.8,0.5,1000,1e-10,11,0.0,0.0
18,0.8,0.5,1000,0.001,43,0.01,0.09949874371066199
18,0.8,0.6,1000,1e-10,20,0.0,0.0
18,0.8,0.6,1000,0.001,25,0.0,0.0
18,0.8,0.7,1000,1e-10,20,0.04,0.19595917942265423
18,0.8,0.7,1000,0.001,17,0.0,0.0
18,0.8,0.8,1000,1e-10,21,0.0,0.0
18,0.8,0.8,1000,0.001,19,0.0,0.0
18,0.8,0.9,1000,1e-10,6,0.02,0.13999999999999999
18,0.8,0.9,1000,0.001,22,0.0,0.0
18,0.9,0.1,1000,1e-10,23,0.19,0.39230090491866065
18,0.9,0.1,1000,0.001,31,0.12,0.3249615361854384
18,0.9,0.2,1000,1e-10,12,0.09,0.28618176042508375
18,0.9,0.2,1000,0.001,31,0.04,0.19595917942265426
18,0.9,0.3,1000,1e-10,26,0.05,0.21794494717703367
18,0.9,0.3,1000,0.001,28,0.2,0.4
18,0.9,0.4,1000,1e-10,5,0.14,0.34698703145794946
18,0.9,0.4,1000,0.001,27,0.1,0.3
18,0.9,0.5,1000,1e-10,5,0.18,0.38418745424597095
18,0.9,0.5,1000,0.001,25,0.13,0.3363034344160047
18,0.9,0.6,1000,1e-10,22,0.04,0.19595917942265426
18,0.9,0.6,1000,0.001,25,0.17,0.375632799419859
18,0.9,0.7,1000,1e-10,5,0.05,0.21794494717703367
18,0.9,0.7,1000,0.001,20,0.2,0.4
18,0.9,0.8,1000,1e-10,5,0.18,0.38418745424597095
18,0.9,0.8,1000,0.001,20,0.14,0.34698703145794946
18,0.9,0.9,1000,1e-10,15,0.13,0.33630343441600474
18,0.9,0.9,1000,0.001,7,0.09,0.2861817604250837
18,1.0,0.1,1000,1e-10,22,0.55,0.49749371855331
18,1.0,0.1,1000,0.001,30,0.55,0.49749371855331
18,1.0,0.2,1000,1e-10,19,0.52,0.4995998398718718
18,1.0,0.2,1000,0.001,34,0.56,0.4963869458396343
18,1.0,0.3,1000,1e-10,5,0.62,0.48538644398046393
18,1.0,0.3,1000,0.001,56,0.54,0.49839743177508444
18,1.0,0.4,1000,1e-10,4,0.51,0.49989998999799945
18,1.0,0.4,1000,0.001,36,0.63,0.4828043081829324
18,1.0,0.5,1000,1e-10,4,0.48,0.4995998398718718
18,1.0,0.5,1000,0.001,30,0.55,0.49749371855331
18,1.0,0.6,1000,1e-10,4,0.54,0.49839743177508444
18,1.0,0.6,1000,0.001,22,0.51,0.4998999899979995
18,1.0,0.7,1000,1e-10,6,0.65,0.4769696007084728
18,1.0,0.7,1000,0.001,26,0.62,0.48538644398046393
18,1.0,0.8,1000,1e-10,22,0.6,0.4898979485566356
18,1.0,0.8,1000,0.001,19,0.67,0.4702127178203499
18,1.0,0.9,1000,1e-10,32,0.64,0.48000000000000004
18,1.0,0.9,1000,0.001,14,0.6,0.48989794855663565
20,0.8,0.1,1000,1e-10,28,0.0,0.0
20,0.8,0.1,1000,0.001,37,0.0,0.0
20,0.8,0.2,1000,1e-10,20,0.0,0.0
20,0.8,0.2,1000,0.001,35,0.0,0.0
20,0.8,0.3,1000,1e-10,21,0.0,0.0
20,0.8,0.3,1000,0.001,37,0.0,0.0
20,0.8,0.4,1000,1e-10,14,0.0,0.0
20,0.8,0.4,1000,0.001,33,0.0,0.0
20,0.8,0.5,1000,1e-10,10,0.0,0.0
20,0.8,0.5,1000,0.001,26,0.01,0.09949874371066199
20,0.8,0.6,1000,1e-10,7,0.0,0.0
20,0.8,0.6,1000,0.001,24,0.0,0.0
