map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
6,1.0,0.2,1000,1e-10,14,1.0,0.0
6,1.0,0.2,1000,0.001,4,0.0,0.0
6,1.0,0.3,1000,1e-10,18,1.0,0.0
6,1.0,0.3,1000,0.001,5,0.78,0.41424630354415964
6,1.0,0.4,1000,1e-10,23,0.99,0.09949874371066199
6,1.0,0.4,1000,0.001,6,0.89,0.31288975694324034
6,1.0,0.5,1000,1e-10,30,0.99,0.09949874371066199
6,1.0,0.5,1000,0.001,8,1.0,0.0
6,1.0,0.6,1000,1e-10,39,0.99,0.09949874371066199
6,1.0,0.6,1000,0.001,9,1.0,0.0
6,1.0,0.7,1000,1e-10,52,0.99,0.09949874371066199
6,1.0,0.7,1000,0.001,12,0.99,0.09949874371066199
6,1.0,0.8,1000,1e-10,74,0.99,0.09949874371066199
6,1.0,0.8,1000,0.001,18,1.0,0.0
6,1.0,0.9,1000,1e-10,121,0.98,0.13999999999999999
6,1.0,0.9,1000,0.001,32,0.99,0.09949874371066199
6,1.0,1.0,1000,1e-10,286,0.99,0.09949874371066199
6,1.0,1.0,1000,0.001,75,1.0,0.0
8,0.6,0.1,1000,1e-10,10,0.0,0.0
8,0.6,0.1,1000,0.001,4,0.0,0.0
8,0.6,0.2,1000,1e-10,13,0.0,0.0
8,0.6,0.2,1000,0.001,4,0.0,0.0
8,0.6,0.3,1000,1e-10,17,0.0,0.0
8,0.6,0.3,1000,0.001,5,0.0,0.0
8,0.6,0.4,1000,1e-10,22,0.16,0.3666060555964672
8,0.6,0.4,1000,0.001,6,0.0,0.0
8,0.6,0.5,1000,1e-10,26,0.03,0.17058722109231983
8,0.6,0.5,1000,0.001,7,0.0,0.0
8,0.6,0.6,1000,1e-10,36,0.03,0.1705872210923198
8,0.6,0.6,1000,0.001,8,0.0,0.0
8,0.6,0.7,1000,1e-10,46,0.01,0.09949874371066199
8,0.6,0.7,1000,0.001,11,0.0,0.0
8,0.6,0.8,1000,1e-10,74,0.03,0.1705872210923198
8,0.6,0.8,1000,0.001,15,0.0,0.0
8,0.6,0.9,1000,1e-10,146,0.43,0.4950757517794625
8,0.6,0.9,1000,0.001,22,0.02,0.13999999999999999
8,0.6,1.0,1000,1e-10,999,0.25,0.4330127018922193
8,0.6,1.0,1000,0.001,44,0.03,0.17058722109231983
8,0.7,0.1,1000,1e-10,10,0.09,0.28618176042508375
8,0.7,0.1,1000,0.001,3,0.0,0.0
8,0.7,0.2,1000,1e-10,13,0.09,0.2861817604250837
8,0.7,0.2,1000,0.001,4,0.0,0.0
8,0.7,0.3,1000,1e-10,17,0.01,0.09949874371066199
8,0.7,0.3,1000,0.001,5,0.0,0.0
8,0.7,0.4,1000,1e-10,20,0.0,0.0
8,0.7,0.4,1000,0.001,6,0.0,0.0
8,0.7,0.5,1000,1e-10,29,0.0,0.0
8,0.7,0.5,1000,0.001,7,0.0,0.0
8,0.7,0.6,1000,1e-10,28,0.0,0.0
8,0.7,0.6,1000,0.001,8,0.0,0.0
8,0.7,0.7,1000,1e-10,44,0.0,0.0
8,0.7,0.7,1000,0.001,10,0.0,0.0
8,0.7,0.8,1000,1e-10,74,0.1,0.3
8,0.7,0.8,1000,0.001,16,0.37,0.4828043081829324
8,0.7,0.9,1000,1e-10,143,0.01,0.09949874371066199
8,0.7,0.9,1000,0.001,24,0.08,0.2712931993250107
8,0.7,1.0,1000,1e-10,999,0.32,0.46647615158762396
8,0.7,1.0,1000,0.001,74,0.04,0.1959591794226542
8,0.8,0.1,1000,1e-10,10,0.0,0.0
8,0.8,0.1,1000,0.001,4,0.0,0.0
8,0.8,0.2,1000,1e-10,14,0.37,0.4828043081829324
8,0.8,0.2,1000,0.001,4,0.0,0.0
8,0.8,0.3,1000,1e-10,17,0.12,0.3249615361854384
8,0.8,0.3,1000,0.001,5,0.0,0.0
8,0.8,0.4,1000,1e-10,22,0.54,0.49839743177508444
8,0.8,0.4,1000,0.001,6,0.0,0.0
8,0.8,0.5,1000,1e-10,25,0.01,0.09949874371066199
8,0.8,0.5,1000,0.001,8,0.0,0.0
8,0.8,0.6,1000,1e-10,38,0.4,0.4898979485566356
8,0.8,0.6,1000,0.001,9,0.0,0.0
8,0.8,0.7,1000,1e-10,52,0.33,0.47021271782034985
8,0.8,0.7,1000,0.001,11,0.04,0.19595917942265426
8,0.8,0.8,1000,1e-10,80,0.86,0.34698703145794946
8,0.8,0.8,1000,0.001,15,0.1,0.3
8,0.8,0.9,1000,1e-10,155,0.53,0.49909918853871116
8,0.8,0.9,1000,0.001,31,0.35,0.4769696007084728
8,0.8,1.0,1000,1e-10,999,0.11,0.31288975694324034
8,0.8,1.0,1000,0.001,178,0.34,0.4737087712930805
8,0.9,0.1,1000,1e-10,10,0.0,0.0
8,0.9,0.1,1000,0.001,3,0.0,0.0
8,0.9,0.2,1000,1e-10,14,0.93,0.2551470164434615
8,0.9,0.2,1000,0.001,4,0.0,0.0
8,0.9,0.3,1000,1e-10,18,0.77,0.4208325082500163
8,0.9,0.3,1000,0.001,5,0.0,0.0
8,0.9,0.4,1000,1e-10,23,0.68,0.46647615158762396
8,0.9,0.4,1000,0.001,6,0.0,0.0
8,0.9,0.5,1000,1e-10,30,0.97,0.17058722109231983
8,0.9,0.5,1000,0.001,7,0.0,0.0
8,0.9,0.6,1000,1e-10,39,0.83,0.375632799419859
8,0.9,0.6,1000,0.001,9,0.0,0.0
8,0.9,0.7,1000,1e-10,54,0.8,0.39999999999999997
8,0.9,0.7,1000,0.001,10,0.43,0.4950757517794625
8,0.9,0.8,1000,1e-10,82,0.8,0.4
8,0.9,0.8,1000,0.001,18,0.98,0.13999999999999999
8,0.9,0.9,1000,1e-10,164,0.28,0.44899888641287283
8,0.9,0.9,1000,0.001,32,0.97,0.17058722109231983
8,0.9,1.0,1000,1e-10,377,0.99,0.09949874371066199
8,0.9,1.0,1000,0.001,100,0.98,0.13999999999999999
8,1.0,0.1,1000,1e-10,10,0.81,0.39230090491866065
8,1.0,0.1,1000,0.001,4,0.0,0.0
8,1.0,0.2,1000,1e-10,14,0.98,0.13999999999999999
8,1.0,0.2,1000,0.001,4,0.0,0.0
8,1.0,0.3,1000,1e-10,18,0.98,0.13999999999999999
8,1.0,0.3,1000,0.001,5,0.0,0.0
8,1.0,0.4,1000,1e-10,23,0.98,0.13999999999999999
8,1.0,0.4,1000,0.001,6,0.0,0.0
8,1.0,0.5,1000,1e-10,30,1.0,0.0
8,1.0,0.5,1000,0.001,8,0.59,0.4918333050943175
8,1.0,0.6,1000,1e-10,39,0.98,0.13999999999999999
8,1.0,0.6,1000,0.001,9,0.68,0.466476151587624
8,1.0,0.7,1000,1e-10,54,0.98,0.13999999999999999
8,1.0,0.7,1000,0.001,12,0.97,0.17058722109231983
8,1.0,0.8,1000,1e-10,78,1.0,0.0
8,1.0,0.8,1000,0.001,18,0.99,0.09949874371066199
8,1.0,0.9,1000,1e-10,130,0.99,0.09949874371066199
8,1.0,0.9,1000,0.001,34,0.99,0.09949874371066199
8,1.0,1.0,1000,1e-10,324,0.99,0.09949874371066199
8,1.0,1.0,1000,0.001,92,0.99,0.09949874371066199
10,0.6,0.1,1000,1e-10,10,0.0,0.0
10,0.6,0.1,1000,0.001,3,0.0,0.0
10,0.6,0.2,1000,1e-10,13,0.0,0.0
10,0.6,0.2,1000,0.001,4,0.0,0.0
10,0.6,0.3,1000,1e-10,17,0.0,0.0
10,0.6,0.3,1000,0.001,5,0.0,0.0
