map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,runtime(s)
10,0.8,0.8,True,-0.01,policy,76,0.03
10,0.8,0.9,False,0,value,7,0.01
10,0.8,0.9,False,0,policy,19,0.00
10,0.8,0.9,False,-0.01,value,12,0.00
10,0.8,0.9,False,-0.01,policy,19,0.03
10,0.8,0.9,True,0,value,14,0.08
10,0.8,0.9,True,0,policy,156,0.06
10,0.8,0.9,True,-0.01,value,5,0.08
10,0.8,0.9,True,-0.01,policy,136,0.09
10,0.9,0.1,False,0,value,7,0.01
10,0.9,0.1,False,0,policy,12,0.01
10,0.9,0.1,False,-0.01,value,16,0.00
10,0.9,0.1,False,-0.01,policy,12,0.00
10,0.9,0.1,True,0,value,16,0.00
10,0.9,0.1,True,0,policy,10,0.02
10,0.9,0.1,True,-0.01,value,6,0.00
10,0.9,0.1,True,-0.01,policy,10,0.01
10,0.9,0.2,False,0,value,5,0.00
10,0.9,0.2,False,0,policy,16,0.01
10,0.9,0.2,False,-0.01,value,16,0.00
10,0.9,0.2,False,-0.01,policy,16,0.01
10,0.9,0.2,True,0,value,16,0.02
10,0.9,0.2,True,0,policy,14,0.00
10,0.9,0.2,True,-0.01,value,6,0.02
10,0.9,0.2,True,-0.01,policy,14,0.01
10,0.9,0.3,False,0,value,4,0.02
10,0.9,0.3,False,0,policy,19,0.02
10,0.9,0.3,False,-0.01,value,16,0.01
10,0.9,0.3,False,-0.01,policy,19,0.01
10,0.9,0.3,True,0,value,15,0.01
10,0.9,0.3,True,0,policy,18,0.01
10,0.9,0.3,True,-0.01,value,5,0.01
10,0.9,0.3,True,-0.01,policy,18,0.02
10,0.9,0.4,False,0,value,5,0.02
10,0.9,0.4,False,0,policy,19,0.00
10,0.9,0.4,False,-0.01,value,16,0.00
10,0.9,0.4,False,-0.01,policy,19,0.01
10,0.9,0.4,True,0,value,13,0.01
10,0.9,0.4,True,0,policy,23,0.02
10,0.9,0.4,True,-0.01,value,5,0.00
10,0.9,0.4,True,-0.01,policy,22,0.00
10,0.9,0.5,False,0,value,5,0.00
10,0.9,0.5,False,0,policy,19,0.01
10,0.9,0.5,False,-0.01,value,16,0.02
10,0.9,0.5,False,-0.01,policy,19,0.01
10,0.9,0.5,True,0,value,13,0.01
10,0.9,0.5,True,0,policy,30,0.02
10,0.9,0.5,True,-0.01,value,5,0.02
10,0.9,0.5,True,-0.01,policy,28,0.01
10,0.9,0.6,False,0,value,5,0.00
10,0.9,0.6,False,0,policy,19,0.00
10,0.9,0.6,False,-0.01,value,16,0.00
10,0.9,0.6,False,-0.01,policy,19,0.00
10,0.9,0.6,True,0,value,16,0.02
10,0.9,0.6,True,0,policy,40,0.02
10,0.9,0.6,True,-0.01,value,5,0.02
10,0.9,0.6,True,-0.01,policy,37,0.01
10,0.9,0.7,False,0,value,5,0.00
10,0.9,0.7,False,0,policy,19,0.01
10,0.9,0.7,False,-0.01,value,16,0.00
10,0.9,0.7,False,-0.01,policy,19,0.00
10,0.9,0.7,True,0,value,14,0.02
10,0.9,0.7,True,0,policy,56,0.04
10,0.9,0.7,True,-0.01,value,5,0.02
10,0.9,0.7,True,-0.01,policy,51,0.02
10,0.9,0.8,False,0,value,5,0.00
10,0.9,0.8,False,0,policy,19,0.02
10,0.9,0.8,False,-0.01,value,16,0.00
10,0.9,0.8,False,-0.01,policy,19,0.00
10,0.9,0.8,True,0,value,16,0.06
10,0.9,0.8,True,0,policy,86,0.04
10,0.9,0.8,True,-0.01,value,5,0.04
10,0.9,0.8,True,-0.01,policy,79,0.04
10,0.9,0.9,False,0,value,5,0.02
10,0.9,0.9,False,0,policy,19,0.02
10,0.9,0.9,False,-0.01,value,15,0.00
10,0.9,0.9,False,-0.01,policy,19,0.02
10,0.9,0.9,True,0,value,16,0.10
10,0.9,0.9,True,0,policy,164,0.08
10,0.9,0.9,True,-0.01,value,5,0.08
10,0.9,0.9,True,-0.01,policy,155,0.08
10,1,0.1,False,0,value,6,0.00
10,1,0.1,False,0,policy,12,0.00
10,1,0.1,False,-0.01,value,18,0.00
10,1,0.1,False,-0.01,policy,12,0.00
10,1,0.1,True,0,value,16,0.00
10,1,0.1,True,0,policy,11,0.00
10,1,0.1,True,-0.01,value,4,0.02
10,1,0.1,True,-0.01,policy,10,0.02
10,1,0.2,False,0,value,7,0.00
10,1,0.2,False,0,policy,16,0.02
10,1,0.2,False,-0.01,value,15,0.02
10,1,0.2,False,-0.01,policy,16,0.02
10,1,0.2,True,0,value,14,0.00
10,1,0.2,True,0,policy,14,0.02
10,1,0.2,True,-0.01,value,5,0.02
10,1,0.2,True,-0.01,policy,14,0.00
10,1,0.3,False,0,value,5,0.00
10,1,0.3,False,0,policy,19,0.02
10,1,0.3,False,-0.01,value,14,0.00
10,1,0.3,False,-0.01,policy,19,0.02
10,1,0.3,True,0,value,18,0.02
10,1,0.3,True,0,policy,18,0.00
10,1,0.3,True,-0.01,value,5,0.00
10,1,0.3,True,-0.01,policy,18,0.02
10,1,0.4,False,0,value,4,0.00
10,1,0.4,False,0,policy,19,0.02
10,1,0.4,False,-0.01,value,17,0.02
10,1,0.4,False,-0.01,policy,19,0.00
10,1,0.4,True,0,value,16,0.02
10,1,0.4,True,0,policy,24,0.00
10,1,0.4,True,-0.01,value,4,0.02
10,1,0.4,True,-0.01,policy,24,0.00
10,1,0.5,False,0,value,4,0.00
10,1,0.5,False,0,policy,19,0.00
