map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,mean_reward,stdev_reward
10,0.7,0.9,True,0.0,policy,6,0.0,0.0
10,0.7,0.9,True,-0.01,value,60,-0.0123,0.015738805545529817
10,0.7,0.9,True,-0.01,policy,6,-0.0123,0.015738805545529817
10,0.8,0.1,False,0.0,value,12,2.0,0.0
10,0.8,0.1,False,0.0,policy,13,2.0,0.0
10,0.8,0.1,False,-0.01,value,12,1.83,0.0
10,0.8,0.1,False,-0.01,policy,15,1.83,0.0
10,0.8,0.1,True,0.0,value,10,0.0,0.0
10,0.8,0.1,True,0.0,policy,6,0.12,0.47497368348151664
10,0.8,0.1,True,-0.01,value,10,-0.016900000000000002,0.026559179204184765
10,0.8,0.1,True,-0.01,policy,6,-0.016900000000000002,0.02655917920418476
10,0.8,0.2,False,0.0,value,16,2.0,0.0
10,0.8,0.2,False,0.0,policy,14,2.0,0.0
10,0.8,0.2,False,-0.01,value,16,1.83,0.0
10,0.8,0.2,False,-0.01,policy,14,1.83,0.0
10,0.8,0.2,True,0.0,value,14,0.04,0.27999999999999997
10,0.8,0.2,True,0.0,policy,6,0.16,0.5425863986500215
10,0.8,0.2,True,-0.01,value,13,-0.016900000000000002,0.02655917920418476
10,0.8,0.2,True,-0.01,policy,5,-0.016900000000000002,0.02655917920418476
10,0.8,0.3,False,0.0,value,19,2.0,0.0
10,0.8,0.3,False,0.0,policy,12,2.0,0.0
10,0.8,0.3,False,-0.01,value,19,1.83,0.0
10,0.8,0.3,False,-0.01,policy,14,1.83,0.0
10,0.8,0.3,True,0.0,value,18,0.16,0.5425863986500215
10,0.8,0.3,True,0.0,policy,6,0.16,0.5425863986500215
10,0.8,0.3,True,-0.01,value,17,-0.016900000000000002,0.02655917920418476
10,0.8,0.3,True,-0.01,policy,4,-0.016900000000000002,0.02655917920418476
10,0.8,0.4,False,0.0,value,19,2.0,0.0
10,0.8,0.4,False,0.0,policy,13,2.0,0.0
10,0.8,0.4,False,-0.01,value,19,1.83,0.0
10,0.8,0.4,False,-0.01,policy,13,1.83,0.0
10,0.8,0.4,True,0.0,value,23,0.16,0.5425863986500215
10,0.8,0.4,True,0.0,policy,4,0.16,0.5425863986500215
10,0.8,0.4,True,-0.01,value,22,-0.016900000000000002,0.02655917920418476
10,0.8,0.4,True,-0.01,policy,5,-0.016900000000000002,0.02655917920418476
10,0.8,0.5,False,0.0,value,19,2.0,0.0
10,0.8,0.5,False,0.0,policy,14,2.0,0.0
10,0.8,0.5,False,-0.01,value,19,1.83,0.0
10,0.8,0.5,False,-0.01,policy,12,1.83,0.0
10,0.8,0.5,True,0.0,value,29,0.16,0.5425863986500215
10,0.8,0.5,True,0.0,policy,4,0.16,0.5425863986500215
10,0.8,0.5,True,-0.01,value,28,-0.016900000000000002,0.02655917920418476
10,0.8,0.5,True,-0.01,policy,4,-0.016900000000000002,0.02655917920418476
10,0.8,0.6,False,0.0,value,19,2.0,0.0
10,0.8,0.6,False,0.0,policy,11,2.0,0.0
10,0.8,0.6,False,-0.01,value,19,1.83,0.0
10,0.8,0.6,False,-0.01,policy,12,1.83,0.0
10,0.8,0.6,True,0.0,value,39,0.16,0.5425863986500215
10,0.8,0.6,True,0.0,policy,4,0.16,0.5425863986500215
10,0.8,0.6,True,-0.01,value,37,-0.016900000000000002,0.02655917920418476
10,0.8,0.6,True,-0.01,policy,5,-0.016900000000000002,0.02655917920418476
10,0.8,0.7,False,0.0,value,19,2.0,0.0
10,0.8,0.7,False,0.0,policy,11,2.0,0.0
10,0.8,0.7,False,-0.01,value,19,1.83,0.0
10,0.8,0.7,False,-0.01,policy,14,1.83,0.0
10,0.8,0.7,True,0.0,value,53,0.16,0.5425863986500215
10,0.8,0.7,True,0.0,policy,5,0.16,0.5425863986500215
10,0.8,0.7,True,-0.01,value,51,-0.016800000000000002,0.022220711059729843
10,0.8,0.7,True,-0.01,policy,6,-0.016800000000000002,0.022220711059729843
10,0.8,0.8,False,0.0,value,19,2.0,0.0
10,0.8,0.8,False,0.0,policy,14,2.0,0.0
10,0.8,0.8,False,-0.01,value,19,1.83,0.0
10,0.8,0.8,False,-0.01,policy,13,1.83,0.0
10,0.8,0.8,True,0.0,value,81,0.16,0.5425863986500215
10,0.8,0.8,True,0.0,policy,6,0.16,0.5425863986500215
10,0.8,0.8,True,-0.01,value,76,-0.016800000000000002,0.022220711059729843
10,0.8,0.8,True,-0.01,policy,7,-0.016800000000000002,0.022220711059729843
10,0.8,0.9,False,0.0,value,19,2.0,0.0
10,0.8,0.9,False,0.0,policy,12,2.0,0.0
10,0.8,0.9,False,-0.01,value,19,1.83,0.0
10,0.8,0.9,False,-0.01,policy,14,1.83,0.0
10,0.8,0.9,True,0.0,value,156,0.1,0.43588989435406733
10,0.8,0.9,True,0.0,policy,5,0.1,0.43588989435406733
10,0.8,0.9,True,-0.01,value,136,-0.016800000000000002,0.022220711059729843
10,0.8,0.9,True,-0.01,policy,7,-0.016800000000000002,0.022220711059729843
10,0.9,0.1,False,0.0,value,12,2.0,0.0
10,0.9,0.1,False,0.0,policy,16,2.0,0.0
10,0.9,0.1,False,-0.01,value,12,1.83,0.0
10,0.9,0.1,False,-0.01,policy,16,1.83,0.0
10,0.9,0.1,True,0.0,value,10,0.14,0.5102940328869229
10,0.9,0.1,True,0.0,policy,6,1.2,0.9797958971132712
10,0.9,0.1,True,-0.01,value,10,-0.0512,0.037796296114831145
10,0.9,0.1,True,-0.01,policy,5,-0.0512,0.037796296114831145
10,0.9,0.2,False,0.0,value,16,2.0,0.0
10,0.9,0.2,False,0.0,policy,16,2.0,0.0
10,0.9,0.2,False,-0.01,value,16,1.83,0.0
10,0.9,0.2,False,-0.01,policy,16,1.83,0.0
10,0.9,0.2,True,0.0,value,14,0.62,0.9249864863877741
10,0.9,0.2,True,0.0,policy,6,1.2,0.9797958971132712
10,0.9,0.2,True,-0.01,value,14,-0.0512,0.037796296114831145
10,0.9,0.2,True,-0.01,policy,4,-0.0512,0.037796296114831145
10,0.9,0.3,False,0.0,value,19,2.0,0.0
10,0.9,0.3,False,0.0,policy,16,2.0,0.0
10,0.9,0.3,False,-0.01,value,19,1.83,0.0
10,0.9,0.3,False,-0.01,policy,15,1.83,0.0
10,0.9,0.3,True,0.0,value,18,1.26,0.9656086163658649
10,0.9,0.3,True,0.0,policy,5,1.24,0.9707728879609278
10,0.9,0.3,True,-0.01,value,18,-0.0512,0.037796296114831145
10,0.9,0.3,True,-0.01,policy,5,-0.0512,0.037796296114831145
10,0.9,0.4,False,0.0,value,19,2.0,0.0
10,0.9,0.4,False,0.0,policy,16,2.0,0.0
10,0.9,0.4,False,-0.01,value,19,1.83,0.0
10,0.9,0.4,False,-0.01,policy,13,1.83,0.0
10,0.9,0.4,True,0.0,value,23,1.24,0.9707728879609278
10,0.9,0.4,True,0.0,policy,5,1.24,0.9707728879609278
10,0.9,0.4,True,-0.01,value,22,-0.0512,0.037796296114831145
10,0.9,0.4,True,-0.01,policy,5,-0.0512,0.037796296114831145
10,0.9,0.5,False,0.0,value,19,2.0,0.0
10,0.9,0.5,False,0.0,policy,16,2.0,0.0
10,0.9,0.5,False,-0.01,value,19,1.83,0.0
10,0.9,0.5,False,-0.01,policy,13,1.83,0.0
10,0.9,0.5,True,0.0,value,30,1.24,0.9707728879609278
10,0.9,0.5,True,0.0,policy,5,1.24,0.9707728879609278
10,0.9,0.5,True,-0.01,value,28,-0.0512,0.037796296114831145
10,0.9,0.5,True,-0.01,policy,5,-0.0512,0.037796296114831145
10,0.9,0.6,False,0.0,value,19,2.0,0.0
10,0.9,0.6,False,0.0,policy,16,2.0,0.0
10,0.9,0.6,False,-0.01,value,19,1.83,0.0
10,0.9,0.6,False,-0.01,policy,16,1.83,0.0
10,0.9,0.6,True,0.0,value,40,1.24,0.9707728879609278
10,0.9,0.6,True,0.0,policy,5,1.24,0.9707728879609278
10,0.9,0.6,True,-0.01,value,37,-0.0481,0.033005908561952964
10,0.9,0.6,True,-0.01,policy,5,-0.0481,0.033005908561952964
10,0.9,0.7,False,0.0,value,19,2.0,0.0
10,0.9,0.7,False,0.0,policy,16,2.0,0.0
10,0.9,0.7,False,-0.01,value,19,1.83,0.0
10,0.9,0.7,False,-0.01,policy,14,1.83,0.0
10,0.9,0.7,True,0.0,value,56,1.26,0.9656086163658648
10,0.9,0.7,True,0.0,policy,5,1.26,0.9656086163658648
